category;product;slug;sku;description;image;available
Stickers;Stickers ovalados;stickers-ovalados;S1;Stickers ovalados de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_ovalados.png;True
Stickers;Stickers troquelados;stickers-troquelados;S2;Stickers troquelados de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_troquelados.png;True
Stickers;Stickers semitroquelados;stickers-semitroquelados;S3;Stickers semitroquelados de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_semitroquelados.png;True
Stickers;Stickers transparentes;stickers-transparentes;S4;Stickers transparentes de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_transparentes.png;True
Stickers;Stickers cuadrados;stickers-cuadrados;S5;Stickers cuadrados de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_cuadrados.png;True
Stickers;Stickers circulares;stickers-circulares;S6;Stickers circulares de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_circulares.png;True
Stickers;Stickers rectangulares;stickers-rectangulares;S7;Stickers rectangulares de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_rectangulares.png;True
Stickers;Stickers con esquinas redondeadas;stickers-con-esquinas-redondeadas;S8;Stickers con esquinas redondeadas de alta calidad;product_images/icons_stickers_gallito/custom_stickers/stickers_esquinas_redondeadas.png;True
